path,label,label_name,group,part,split
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN6169.JPG,0,normal,run_of_mine/dscn6169,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN4490.JPG,0,normal,run_of_mine/dscn4490,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/47.jpg,0,normal,run_of_mine/47,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN4695.JPG,0,normal,run_of_mine/dscn4695,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN4309.JPG,0,normal,run_of_mine/dscn4309,ore_photos_by_grade_part2,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN1031.JPG,0,normal,run_of_mine/dscn1031,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/59.jpg,0,normal,run_of_mine/59,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/run_of_mine/DSCN4396.JPG,0,normal,run_of_mine/dscn4396,ore_photos_by_grade_part2,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/DSCN4403.JPG,1,fine,fine_grained/dscn4403,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/92.JPG,1,fine,fine_grained/92,ore_photos_by_grade_part2,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/DSCN4454.JPG,1,fine,fine_grained/dscn4454,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/DSCN4769.JPG,1,fine,fine_grained/dscn4769,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/DSCN2935.JPG,1,fine,fine_grained/dscn2935,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/DSCN8611.JPG,1,fine,fine_grained/dscn8611,ore_photos_by_grade_part2,trainval
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/56.jpg,1,fine,fine_grained/56,ore_photos_by_grade_part2,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part2/fine_grained/70_.jpg,1,fine,fine_grained/70,ore_photos_by_grade_part2,trainval
